teacher_id,subject_id
1,40955
1,40989
1,40955
1,40983
2,40976
2,40976
3,40989
3,40965
4,40966
6,40985
9,40980
9,40982
11,40959
12,40951
12,40951
13,40985
13,40981
14,40959
15,40968
15,40973
15,40973
15,40973
15,40968
16,40966
17,40959
17,40964
17,40964
18,40975
18,40952
18,40975
20,40963
21,40972
21,40966
21,40951
22,40972
22,40977
22,40977
23,40967
24,40959
25,40961
26,40974
26,40974
27,40975
28,40967
29,40981
29,40974
29,40974
30,40974
30,40974
32,40968
32,40973
32,40968
32,40968
33,40959
33,40964
34,40956
35,40979
36,40976
36,40976
37,40972
37,40988
38,40972
39,40987
39,40987
40,40961
42,40959
42,40959
43,40965
44,40977
44,40970
45,40971
45,40971
46,40959
46,40984
49,40970
49,40974
49,40961
49,40974
50,40965
51,40952
51,40952
53,40979
54,40956
54,40972
54,40972
54,40956
55,40970
56,40970
56,40970
56,40972
57,40952
57,40952
